Description	ID	nc	nt	sp
"chromatin silencing protein Clr2"	8771	0	0	1
"Cdc14-related protein phosphatase Clp1/Flp1"	8772	0	0	1
"NAD/NADH kinase (predicted)"	8773	0	0	1
"ribosome export GTPase (predicted)"	8774	0	0	1
"acyl-coA-sterol acyltransferase Are1 (predicted)"	8775	0	0	1
fgenesh1_pg.5_#_764	8780	3	3	0
estExt_Genewise1Plus.C_50319	8782	1	1	1
estExt_fgenesh1_pg.C_40576	8783	1	1	0
fgenesh1_pm.4_#_451	8784	1	1	0
estExt_fgenesh1_pg.C_10215	8788	1	1	0
estExt_Genewise1.C_10064	8789	0	1	0
 Neurospora crassa OR74A mito ribosomal protein L18 (538 aa)	8791	1	1	0
 Neurospora crassa OR74A alpha-1,6-mannosyltransferase Och1 (538 aa)	8792	1	1	0
 Neurospora crassa OR74A aspartyl aminopeptidase (538 aa)	8800	2	2	1
"tyrosyl-DNA phosphodiesterase Tdp1"	8801	0	0	1
"serine-rich Schizosaccharomyces specific protein"	8803	0	0	1
"prevacuole/endosomal FYVE tethering component Pep7 (predicted)"	8804	0	0	1
"scaffold protein Scd2"	8805	0	0	1
estExt_fgenesh1_pg.C_811371	8806	1	1	0
estExt_Genewise1Plus.C_812982	8807	1	1	1
estExt_Genemark.C_811076	8808	1	1	0
fgenesh1_pm.81_#_856	8809	1	1	0
estExt_Genemark.C_50406	8810	1	1	0
fgenesh1_pm.3_#_27	8814	0	1	0
estExt_fgenesh1_pg.C_11338	8816	1	1	0
estExt_Genewise1.C_11004	8819	1	1	0
 Neurospora crassa OR74A hypothetical protein (537 aa)	8820	1	0	0
 Neurospora crassa OR74A galactokinase (537 aa)	8822	1	1	1
 Neurospora crassa OR74A protein kinase A catalytic subunit-1 (537 aa)	8825	1	1	0
 Neurospora crassa OR74A mannosyl-3-phosphoglycerate synthase (537 aa)	8826	1	1	0
 Neurospora crassa OR74A hypothetical protein (537 aa)	8834	1	0	0
"peroxin Pex32 (predicted)"	8835	0	0	1
"origin recognition complex subunit Orc2"	8837	0	0	1
"mitochondrial ATP-dependent RNA helicase Mss116 (predicted)"	8838	0	0	1
"hydrolase (inferred_from_context)"	8840	0	0	1
"ABC1 kinase family protein (predicted)"	8841	0	0	1
"Cdc20/Fizzy subfamily WD repeat protein"	8842	0	0	1
gw1.81.3605.1	8843	0	1	0
estExt_fgenesh1_pm.C_50347	8846	0	1	0
estExt_Genemark.C_30137	8850	1	1	0
estExt_Genewise1Plus.C_30102	8851	2	2	0
estExt_fgenesh1_pm.C_20075	8853	1	1	0
 Neurospora crassa OR74A hypothetical protein (536 aa)	8857	1	1	0
 Neurospora crassa OR74A hypothetical protein (536 aa)	8859	1	1	0
 Neurospora crassa OR74A pre-mRNA splicing factor (536 aa)	8860	1	0	1
 Neurospora crassa OR74A hypothetical protein (536 aa)	8861	2	1	0
"tRNA pseudouridine synthase Lsp1"	8862	0	0	1
"sorting nexin Atg20 (predicted)"	8863	0	0	1
"serine-rich Schizosaccharomyces specific protein, predicted GPI anchor"	8864	0	0	1
"serine/threonine protein kinase Ppk15 (predicted)"	8865	0	0	1
"RNA-binding protein"	8866	0	0	1
"RNA-binding protein (predicted)"	8867	0	0	1
estExt_fgenesh1_pm.C_811674	8868	1	1	0
estExt_Genewise1Plus.C_812339	8869	0	1	0
fgenesh1_pg.81_#_167	8871	1	1	1
estExt_fgenesh1_pg.C_60601	8872	1	1	0
estExt_fgenesh1_pm.C_60036	8873	1	1	0
estExt_Genewise1.C_50944	8874	1	1	0
estExt_Genemark.C_40041	8877	1	1	0
estExt_fgenesh1_pg.C_20244	8880	0	1	0
 Neurospora crassa OR74A DUF895 domain membrane protein (535 aa)	8881	1	1	1
 Neurospora crassa OR74A neutral amino acid permease (535 aa)	8883	1	1	0
 Neurospora crassa OR74A hypothetical protein (535 aa)	8884	1	0	0
 Neurospora crassa OR74A MFS transporter (535 aa)	8885	2	1	0
 Neurospora crassa OR74A hypothetical protein (535 aa)	8886	1	0	0
 Neurospora crassa OR74A serine/threonine protein kinase-24 (535 aa)	8889	1	1	0
 Neurospora crassa OR74A beclin 1 (535 aa)	8890	2	1	0
"chromosome segregation protein Csi1"	8895	0	0	1
"Golgi localized Arf binding gamma-adaptin ortholog Gga22"	8896	0	0	1
"zf-C3HC4 type (RING finger)/GCN5-related N acetyltransferase fusion protein"	8897	0	0	1
"RNA polymerase II transcription elongation factor SpELL"	8898	0	0	1
"MatE family transporter (predicted)"	8900	0	0	2
"transcription factor TFIIH complex subunit Tfb1 (predicted)"	8901	0	0	1
"aspartic protease Sxa1"	8902	0	0	1
"transcription factor Ace2"	8903	0	0	1
"RNA-binding protein Msa1"	8904	0	0	1
"alpha-1,2-mannosyltransferase (predicted)"	8905	0	0	1
Genemark.6680_g	8909	2	1	0
estExt_Genewise1Plus.C_51850	8910	1	1	0
estExt_Genewise1.C_13361	8914	1	1	0
estExt_fgenesh1_kg.C_10002	8915	1	1	1
 Neurospora crassa OR74A hypothetical protein (534 aa)	8917	1	0	0
 Neurospora crassa OR74A mitochondrial integral membrane protein (534 aa)	8923	1	1	0
"vacuolar membrane alkaline phosphatase (predicted)"	8927	0	0	1
"serine/threonine protein kinase Ppk9 (predicted)"	8928	0	0	1
estExt_fgenesh1_kg.C_810200	8929	1	1	0
estExt_Genewise1.C_40064	8933	1	1	0
estExt_fgenesh1_pm.C_30284	8934	1	1	0
estExt_Genemark.C_20154	8935	1	1	0
estExt_fgenesh1_pm.C_11094	8936	1	1	0
 Neurospora crassa OR74A GATA type zinc finger protein ASD4 (533 aa)	8939	1	1	0
 Neurospora crassa OR74A hypothetical protein (533 aa)	8941	1	1	0
 Neurospora crassa OR74A hypothetical protein (533 aa)	8942	1	1	0
 Neurospora crassa OR74A hypothetical protein (533 aa)	8943	1	0	0
 Neurospora crassa OR74A MFS sugar transporter (533 aa)	8946	1	1	0
 Neurospora crassa OR74A hypothetical protein (533 aa)	8947	1	1	0
 Neurospora crassa OR74A alpha-1,3-glucanase (533 aa)	8949	1	0	0
 Neurospora crassa OR74A HLH transcription factor (533 aa)	8952	2	1	0
 Neurospora crassa OR74A hypothetical protein (533 aa)	8954	1	1	0
 Neurospora crassa OR74A CDP-diacylglycerol-glycerol-3-phosphate 3-phosphatidyltransferase (533 aa)	8958	1	1	0
 Neurospora crassa OR74A hypothetical protein (533 aa)	8961	1	0	0
"mitochondrial lysine-tRNA ligase (predicted)"	8962	0	0	1
e_gw1.81.1194.1	8967	1	1	0
estExt_fgenesh1_kg.C_810673	8968	1	1	1
estExt_Genewise1Plus.C_812865	8969	1	1	0
estExt_Genewise1.C_810224	8971	2	1	1
estExt_Genemark.C_30426	8974	1	1	0
estExt_Genemark.C_20058	8978	1	1	0
estExt_fgenesh1_pm.C_10882	8979	1	1	0
estExt_Genewise1Plus.C_10286	8981	2	1	0
 Neurospora crassa OR74A hypothetical protein (532 aa)	8982	1	0	0
 Neurospora crassa OR74A mitochondrial DnaJ chaperone (532 aa)	8990	2	1	1
 Neurospora crassa OR74A MFS efflux transporter (532 aa)	8994	1	1	0
"membrane transporter (predicted)"	8996	0	0	3
"Ric8 family guanine nucleotide exchange factor synembryn family"	8997	0	0	1
"arrestin Aly1 related, implicated in endocytosis"	8998	0	0	1
"cell wall protein Asl1, predicted O-glucosyl hydrolase"	8999	0	0	1
estExt_fgenesh1_pm.C_812047	9000	0	1	1
estExt_Genewise1.C_812555	9003	1	1	0
estExt_Genewise1.C_51789	9005	1	1	1
estExt_Genewise1Plus.C_40592	9007	0	1	0
estExt_fgenesh1_pm.C_10547	9009	2	1	0
 Neurospora crassa OR74A hypothetical protein (531 aa)	9010	2	1	0
 Neurospora crassa OR74A G-protein coupled receptor-3 (531 aa)	9011	1	1	0
 Neurospora crassa OR74A hypothetical protein (531 aa)	9013	1	1	0
 Neurospora crassa OR74A integral membrane protein (531 aa)	9014	2	1	0
 Neurospora crassa OR74A hypothetical protein (531 aa)	9017	1	1	0
 Neurospora crassa OR74A DUF1671 domain-containing protein (531 aa)	9021	1	1	0
 Neurospora crassa OR74A white collar-2 (531 aa)	9023	1	1	0
"Schizosaccharomyces specific protein"	9024	0	0	1
"transcription factor, zf-fungal binuclear cluster type"	9025	0	0	1
"vacuolar amino acid efflux transporter Atg22"	9026	0	0	1
"RNA-binding protein Nrd1"	9027	0	0	1
estExt_Genewise1.C_813722	9028	1	1	0
estExt_fgenesh1_pg.C_811129	9029	2	1	0
estExt_Genemark.C_811152	9030	1	1	0
estExt_fgenesh1_pm.C_40776	9031	0	1	0
estExt_fgenesh1_pg.C_40229	9032	1	1	0
fgenesh1_pm.3_#_1032	9033	1	1	0
 Neurospora crassa OR74A UPF0187 domain membrane protein (530 aa)	9035	1	1	0
 Neurospora crassa OR74A CND11p (530 aa)	9037	1	1	0
 Neurospora crassa OR74A alpha-1,6-mannosyltransferase Och1 (530 aa)	9038	1	0	0
 Neurospora crassa OR74A hypothetical protein (530 aa)	9042	1	1	0
 Neurospora crassa OR74A hypothetical protein (530 aa)	9043	1	0	0
 Neurospora crassa OR74A hypothetical protein (530 aa)	9044	1	1	0
"linear element associated protein Hop1"	9051	0	0	1
"Noc2p-Noc3p complex subunit Noc2 family (predicted)"	9053	0	0	1
estExt_Genewise1Plus.C_811643	9055	2	1	1
estExt_fgenesh1_pm.C_810689	9056	0	1	0
estExt_Genewise1Plus.C_41635	9058	1	1	0
estExt_fgenesh1_pg.C_40604	9059	0	1	0
estExt_Genewise1.C_32468	9060	1	1	0
estExt_fgenesh1_kg.C_20213	9062	1	1	1
estExt_Genemark.C_11146	9063	1	1	0
fgenesh1_pg.1_#_65	9065	1	1	0
 Neurospora crassa OR74A NADPH-adrenodoxin reductase Arh1 (529 aa)	9068	1	0	1
 Neurospora crassa OR74A hypothetical protein (529 aa)	9071	1	0	0
 Neurospora crassa OR74A hypothetical protein (529 aa)	9072	1	1	0
 Neurospora crassa OR74A hypothetical protein (529 aa)	9073	1	1	0
"guanine deaminase (predicted)"	9077	0	0	1
"ARS binding protein Abp2"	9078	0	0	1
"Man5GlcNac2-PP-Dol translocation protein Rft1 (predicted)"	9079	0	0	1
"SWI/SNF and RSC complex subunit Ssr1"	9081	0	0	1
"Schizosaccharomyces specific protein"	9082	0	0	1
"guanyl-nucleotide exchange factor Sec2 (predicted)"	9083	0	0	1
"tRNA (m5U54) methyltransferase Trm2 (predicted)"	9084	0	0	1
estExt_fgenesh1_kg.C_50157	9089	2	1	1
fgenesh1_pm.5_#_34	9090	0	1	0
fgenesh1_pm.4_#_892	9091	1	1	0
estExt_Genewise1Plus.C_31892	9092	1	1	0
estExt_Genewise1Plus.C_22521	9093	1	1	0
estExt_Genewise1.C_12636	9095	1	1	0
 Neurospora crassa OR74A hypothetical protein (528 aa)	9097	1	1	0
 Neurospora crassa OR74A hypothetical protein (528 aa)	9099	1	0	0
 Neurospora crassa OR74A hypothetical protein (528 aa)	9100	1	1	0
 Neurospora crassa OR74A hypothetical protein (528 aa)	9101	1	1	0
 Neurospora crassa OR74A guanine deaminase (528 aa)	9102	1	1	0
"serine/threonine protein kinase Ppk22 (predicted)"	9111	0	0	1
"SAGA complex subunit Spt8"	9112	0	0	1
"mitochondrial glutamyl-tRNA ligase Mse1 (predicted)"	9115	0	0	1
"conserved fungal protein Mug99"	9116	0	0	1
"mitochondrial glutamyl-tRNA amidotransferase beta subunit (predicted)"	9117	0	0	1
estExt_Genewise1.C_815033	9119	1	1	0
estExt_Genewise1Plus.C_814804	9120	1	1	1
estExt_Genewise1.C_812815	9121	2	1	0
estExt_Genewise1Plus.C_811968	9122	2	2	0
estExt_fgenesh1_kg.C_60013	9124	2	1	0
estExt_fgenesh1_pm.C_50013	9127	1	1	0
Genemark.4003_g	9130	0	1	0
estExt_Genewise1Plus.C_22722	9131	1	1	0
estExt_Genewise1.C_20055	9133	1	1	0
estExt_Genemark.C_11461	9134	1	1	0
 Neurospora crassa OR74A hypothetical protein (527 aa)	9138	1	0	0
 Neurospora crassa OR74A hypothetical protein (527 aa)	9143	1	0	0
 Neurospora crassa OR74A chromosome condensation protein (527 aa)	9145	1	1	0
 Neurospora crassa OR74A cycloheximide-inducible-1 (527 aa)	9146	1	0	0
 Neurospora crassa OR74A hypothetical protein similar to phosphatidyl synthase (527 aa)	9147	2	1	0
 Neurospora crassa OR74A hypothetical protein (527 aa)	9148	1	1	0
 Neurospora crassa OR74A microfibril-associated protein (527 aa)	9149	1	1	0
 Neurospora crassa OR74A translocase of inner mitochondrial membrane 44 (527 aa)	9150	1	0	0
 Neurospora crassa OR74A hyphal anastamosis-8 (527 aa)	9151	1	1	0
"transcription factor (predicted)"	9153	0	0	1
"RhoGEF Gef3"	9155	0	0	1
"F1-ATPase beta subunit Atp2"	9156	1	1	1
estExt_Genewise1Plus.C_814368	9158	1	1	0
estExt_Genemark.C_811778	9159	1	1	0
estExt_Genewise1.C_52310	9164	1	1	0
estExt_Genewise1.C_40124	9165	1	1	1
estExt_Genewise1.C_30408	9167	1	1	0
estExt_fgenesh1_kg.C_10458	9169	1	1	0
estExt_Genewise1Plus.C_12483	9170	1	1	0
estExt_Genewise1Plus.C_12426	9171	1	1	0
 Neurospora crassa OR74A MIZ zinc finger protein (526 aa)	9176	2	0	0
 Neurospora crassa OR74A hypothetical protein (526 aa)	9177	1	1	0
 Neurospora crassa OR74A hypothetical protein (526 aa)	9182	1	1	0
"mitochondrial RNA metabolism pathway protein Pet127"	9186	0	0	1
"U3 snoRNP-associated protein Rrp9 (predicted)"	9188	0	0	1
estExt_Genewise1.C_812937	9189	1	1	0
 Neurospora crassa OR74A DUF895 domain membrane protein (525 aa)	9195	1	1	0
 Neurospora crassa OR74A DNA kinase/phosphatase Pnk1 (525 aa)	9196	1	1	0
 Neurospora crassa OR74A hypothetical protein (525 aa)	9198	2	0	0
 Neurospora crassa OR74A glycerol-3-phosphate dehydrogenase (525 aa)	9200	1	0	0
 Neurospora crassa OR74A nucleoside transporter (525 aa)	9201	1	1	0
"AP-endonuclease Apn2"	9202	0	0	1
"SWI/SNF and RSC complex subunit Arp9"	9203	0	0	1
"substrate adaptor for cullin 3 ubiquitin ligase Btb3"	9204	0	0	1
estExt_Genewise1Plus.C_813054	9205	1	1	0
fgenesh1_pm.81_#_1307	9206	1	1	1
estExt_fgenesh1_pm.C_810784	9207	1	1	0
estExt_Genemark.C_60583	9208	1	1	0
estExt_Genewise1.C_61000	9209	1	1	0
estExt_Genewise1.C_50679	9210	1	1	1
estExt_fgenesh1_pg.C_40358	9211	2	1	0
estExt_fgenesh1_pm.C_40267	9212	1	1	0
estExt_Genewise1Plus.C_31387	9213	1	1	1
estExt_Genewise1Plus.C_21968	9214	1	1	0
estExt_Genemark.C_20432	9215	0	1	0
estExt_fgenesh1_pg.C_10080	9217	1	1	0
estExt_fgenesh1_pm.C_10015	9218	1	1	0
 Neurospora crassa OR74A hypothetical protein (524 aa)	9223	1	1	0
 Neurospora crassa OR74A MFS maltose permease MalP (524 aa)	9224	1	1	0
"signal recognition particle subunit Srp54"	9227	1	1	1
"response regulator Mcs4"	9230	0	0	1
"CENP-B homolog"	9231	0	0	3
"Tea1 anchoring protein Mod5"	9232	0	0	1
"Smc5-6 complex non-SMC subunit Nse6"	9233	0	0	1
"transcription factor zf-C2H2 type"	9234	0	0	1
estExt_fgenesh1_pg.C_50549	9240	1	1	0
estExt_Genewise1Plus.C_31959	9241	2	1	0
fgenesh1_pm.2_#_734	9242	1	1	0
estExt_fgenesh1_kg.C_10134	9243	1	1	1
e_gw1.1.628.1	9244	0	1	0
 Neurospora crassa OR74A hypothetical protein (523 aa)	9245	1	0	0
 Neurospora crassa OR74A nuclear polyadenylated RNA-binding protein Nab2 (523 aa)	9246	1	0	0
 Neurospora crassa OR74A hypothetical protein (523 aa)	9248	1	1	0
 Neurospora crassa OR74A hypothetical protein (523 aa)	9250	1	1	0
 Neurospora crassa OR74A methyltransferase (523 aa)	9257	1	1	0
 Neurospora crassa OR74A hypothetical protein (523 aa)	9258	1	1	0
 Neurospora crassa OR74A hypothetical protein (523 aa)	9260	1	0	0
"aspartic protease, yapsin Yps1"	9264	0	0	1
"transmembrane transporter (predicted)"	9265	0	0	1
"Nramp family manganese ion transporter"	9267	0	0	1
"mannosyl-oligosaccharide 1,2-alpha-mannosidase"	9268	0	0	1
estExt_fgenesh1_kg.C_810915	9269	1	1	2
estExt_fgenesh1_pm.C_60307	9270	3	1	0
estExt_Genemark.C_50210	9271	1	1	1
estExt_Genemark.C_50137	9272	1	1	1
estExt_Genewise1Plus.C_50017	9273	1	1	0
estExt_Genewise1Plus.C_41415	9274	1	1	0
estExt_fgenesh1_pm.C_30233	9277	0	1	0
estExt_Genewise1Plus.C_20379	9280	0	1	0
 Neurospora crassa OR74A cellobiohydrolase-1 (522 aa)	9284	2	1	0
 Neurospora crassa OR74A hypothetical protein (522 aa)	9292	1	1	0
 Neurospora crassa OR74A epsin-3 (522 aa)	9294	1	1	1
"transcription factor TFIIIB complex subunit Bdp1 (predicted)"	9295	0	0	1
estExt_Genewise1Plus.C_814780	9298	0	1	0
estExt_fgenesh1_pm.C_811153	9300	0	1	0
e_gw1.81.3778.1	9301	1	1	0
fgenesh1_pm.6_#_308	9302	1	1	0
fgenesh1_pm.1_#_1343	9305	1	1	0
 Neurospora crassa OR74A YTP1 (521 aa)	9310	1	1	0
 Neurospora crassa OR74A all development altered-5 (521 aa)	9314	1	1	0
 Neurospora crassa OR74A septin (521 aa)	9315	1	1	0
 Neurospora crassa OR74A hypothetical protein (521 aa)	9316	1	1	0
"asteroid homolog, XP-G family protein"	9317	0	0	1
"acetyl-CoA transporter (predicted)"	9320	0	0	1
estExt_fgenesh1_pg.C_810953	9322	1	1	0
estExt_Genewise1.C_60918	9324	4	3	0
e_gw1.5.335.1	9325	1	1	0
estExt_fgenesh1_kg.C_50267	9326	1	1	0
estExt_fgenesh1_pm.C_21081	9329	0	1	0
estExt_Genewise1.C_22391	9331	1	1	1
estExt_fgenesh1_pm.C_20559	9332	0	1	0
fgenesh1_pm.2_#_329	9333	0	1	0
 Neurospora crassa OR74A MFS monocarboxylate transporter (520 aa)	9341	1	1	0
 Neurospora crassa OR74A carboxylic acid transporter (520 aa)	9343	1	1	0
 Neurospora crassa OR74A hypothetical protein (520 aa)	9344	2	1	0
"U4/U6 x U5 tri-snRNP complex subunit Prp31"	9345	0	0	1
"isocitrate lyase (predicted)"	9346	0	0	1
estExt_Genemark.C_812181	9350	0	1	0
estExt_fgenesh1_kg.C_60330	9352	1	1	1
estExt_Genewise1.C_60595	9353	1	1	0
estExt_Genewise1Plus.C_60493	9354	1	1	0
estExt_Genewise1.C_51736	9355	1	1	0
fgenesh1_pm.3_#_70	9358	0	1	0
estExt_Genewise1.C_21767	9359	1	1	0
estExt_fgenesh1_pm.C_10176	9362	1	1	0
 Neurospora crassa OR74A hypothetical protein (519 aa)	9363	1	1	0
 Neurospora crassa OR74A ubiquitin-conjugating enzyme (519 aa)	9365	1	0	0
 Neurospora crassa OR74A MAPK/ERK kinase (519 aa)	9368	1	1	0
 Neurospora crassa OR74A hypothetical protein (519 aa)	9370	1	1	0
 Neurospora crassa OR74A betaine aldehyde dehydrogenase (519 aa)	9373	1	1	0
"HC03 family inorganic anion exchanger (predicted)"	9374	0	0	1
"cactin, spliceosome complex subunit (predicted)"	9375	0	0	1
"meiotic forkhead transcription factor Mei4"	9376	0	0	1
"U2AF large subunit (U2AF-59)"	9377	0	0	1
"NEDD8 activating enzyme (predicted)"	9378	0	0	1
"ammonium transporter Amt3"	9379	1	0	1
estExt_Genemark.C_812239	9380	1	1	0
estExt_Genewise1Plus.C_811419	9381	1	1	1
estExt_fgenesh1_pm.C_50714	9382	1	1	0
estExt_Genewise1Plus.C_51234	9383	1	1	0
estExt_Genewise1Plus.C_42108	9385	1	1	0
estExt_fgenesh1_pg.C_40474	9386	1	1	0
estExt_fgenesh1_kg.C_30062	9387	1	1	0
estExt_Genewise1Plus.C_20845	9388	1	1	0
estExt_fgenesh1_pm.C_20347	9389	0	1	0
estExt_Genewise1Plus.C_12198	9391	0	1	0
estExt_Genemark.C_10876	9392	1	1	0
 Neurospora crassa OR74A hypothetical protein (518 aa)	9394	1	0	0
 Neurospora crassa OR74A GPI mannosyltransferase 4 (518 aa)	9395	1	1	0
 Neurospora crassa OR74A cactin (518 aa)	9396	1	1	0
 Neurospora crassa OR74A hypothetical protein (518 aa)	9398	1	0	0
 Neurospora crassa OR74A alternative oxidase-2 (518 aa)	9405	1	1	0
"snoRNP assembly factor Naf1 (predicted)"	9411	0	0	1
"oxysterol binding protein (predicted)"	9413	2	1	1
"cyclophilin family peptidyl-prolyl cis-trans isomerase Cyp8"	9415	0	0	1
"phosphatidylserine decarboxylase Psd2"	9416	0	0	1
estExt_Genemark.C_21416	9419	1	1	1
estExt_Genewise1.C_11772	9422	1	1	0
estExt_Genewise1Plus.C_11406	9423	1	1	0
 Neurospora crassa OR74A hypothetical protein (517 aa)	9425	1	1	0
 Neurospora crassa OR74A bleomycin hydrolase (517 aa)	9429	1	1	0
 Neurospora crassa OR74A hypothetical protein (517 aa)	9430	1	1	0
"TRAPP complex subunit Trs65 (predicted)"	9439	0	0	1
"SWI/SNF complex subunit Snf59"	9440	0	0	1
"2-oxoglutarate and Fe(II) dioxygenase domain containing protein 1"	9441	0	0	1
"Schizosaccharomyces specific protein"	9442	0	0	1
"Schizosaccharomyces specific protein Mug68"	9443	0	0	1
estExt_fgenesh1_pm.C_811451	9445	1	1	0
estExt_Genewise1Plus.C_810924	9447	1	1	0
estExt_Genemark.C_60072	9450	2	1	0
estExt_Genewise1.C_21696	9452	1	1	1
fgenesh1_pm.1_#_1261	9454	0	1	0
 Neurospora crassa OR74A 4-aminobutyrate aminotransferase (516 aa)	9457	3	0	1
 Neurospora crassa OR74A INSIG domain-containing protein (516 aa)	9459	1	1	0
 Neurospora crassa OR74A hypothetical protein (516 aa)	9460	1	0	0
 Neurospora crassa OR74A zinc/iron transporter (516 aa)	9462	1	1	0
"pantothenate transporter Liz1"	9466	0	0	1
"spindle pole body protein Sad1"	9467	0	0	1
"GTPase activating protein Gyp1 (predicted)"	9468	0	0	1
estExt_Genewise1.C_811043	9474	1	1	0
estExt_Genewise1Plus.C_51930	9475	1	1	0
estExt_fgenesh1_pm.C_50450	9476	1	1	0
estExt_Genewise1.C_50392	9477	1	1	0
estExt_fgenesh1_pm.C_50041	9478	1	1	0
 Neurospora crassa OR74A hypothetical protein (515 aa)	9482	1	0	0
 Neurospora crassa OR74A hypothetical protein (515 aa)	9484	1	1	0
 Neurospora crassa OR74A hypothetical protein (515 aa)	9485	1	0	0
 Neurospora crassa OR74A hypothetical protein (515 aa)	9487	1	1	0
 Neurospora crassa OR74A hypothetical protein (515 aa)	9491	1	1	0
 Neurospora crassa OR74A serine/threonine protein kinase (515 aa)	9492	1	1	0
 Neurospora crassa OR74A hypothetical protein (515 aa)	9493	1	0	0
 Neurospora crassa OR74A ZIP metal ion transporter (515 aa)	9495	1	1	0
"fumarate reductase Osm1 (predicted)"	9496	0	0	1
"ubiquitin-protein ligase E3 (predicted)"	9498	0	0	1
"alpha-amylase homolog Mde5"	9499	0	0	1
"S. pombe specific UPF0300 family protein 2"	9500	0	0	1
"serine/threonine protein kinase Ppk8 (predicted)"	9501	0	0	1
"autophagy associated protein Aut12 (predicted)"	9502	0	0	1
"peptidase family M17 cytoplasmic leucyl aminopeptidase yspII (LAP yspII)"	9503	0	0	1
estExt_Genewise1Plus.C_813389	9504	0	1	0
estExt_Genewise1.C_812293	9505	1	1	0
estExt_fgenesh1_pm.C_810948	9506	1	1	0
fgenesh1_pg.6_#_846	9508	1	1	0
estExt_fgenesh1_pg.C_40340	9509	0	1	0
estExt_fgenesh1_kg.C_40079	9510	1	1	1
 Neurospora crassa OR74A xaa-Pro dipeptidase (514 aa)	9511	2	1	0
 Neurospora crassa OR74A hypothetical protein (514 aa)	9520	1	1	0
 Neurospora crassa OR74A DNA primase large subunit (514 aa)	9521	1	1	1
 Neurospora crassa OR74A hypothetical protein (514 aa)	9522	1	1	0
 Neurospora crassa OR74A inorganic pyrophosphatase (514 aa)	9524	1	0	0
"chitin synthase regulatory factor Cfh2 (predicted)"	9526	0	0	1
"ubiquitin C-terminal hydrolase Ubp3"	9528	0	0	1
"cAMP-dependent protein kinase catalytic subunit Pka1"	9530	0	0	1
"CAF assembly factor (CAF-1) complex subunit B, Pcf2"	9531	0	0	1
"spore wall assembly ADAM family peptidase Mde10"	9532	0	0	1
"ammonium transporter Amt2"	9533	2	3	2
estExt_Genewise1.C_811706	9534	1	1	0
estExt_fgenesh1_pg.C_60590	9536	1	1	0
estExt_fgenesh1_kg.C_30371	9538	1	1	0
estExt_fgenesh1_pg.C_30672	9539	1	1	0
estExt_fgenesh1_pm.C_30305	9541	1	1	0
estExt_Genewise1.C_13149	9543	0	1	0
 Neurospora crassa OR74A hypothetical protein (513 aa)	9545	1	1	0
 Neurospora crassa OR74A hypothetical protein (513 aa)	9547	1	1	0
 Neurospora crassa OR74A hypothetical protein (513 aa)	9549	1	1	0
"conserved fungal protein"	9552	0	0	1
"TLDc domain protein 2"	9553	0	0	1
"kinesin-like protein Klp8"	9554	0	0	1
"tubulin specific chaperone cofactor E"	9555	0	0	1
"dihydrolipoamide dehydrogenase Dld1"	9556	1	1	1
estExt_Genewise1.C_815148	9557	1	1	1
estExt_Genewise1Plus.C_812089	9558	1	1	0
Genemark.7943_g	9559	1	1	0
estExt_fgenesh1_pg.C_20853	9564	1	1	0
fgenesh1_pm.1_#_884	9566	1	1	0
estExt_fgenesh1_pg.C_10812	9567	1	1	0
estExt_Genemark.C_10282	9568	2	1	0
 Neurospora crassa OR74A hypothetical protein (512 aa)	9571	1	1	0
 Neurospora crassa OR74A xaa-Pro dipeptidase (512 aa)	9574	1	1	1
 Neurospora crassa OR74A mitogen activated protein kinase kinase 2 (512 aa)	9575	1	1	0
 Neurospora crassa OR74A hypothetical protein (512 aa)	9579	1	1	0
 Neurospora crassa OR74A hypothetical protein (512 aa)	9585	3	1	0
